X	Y	Z	number of the return	number of returns of given pulse	intensity	classification
680899.870	5239869.760	959.760	2	2	14	2
680899.350	5239873.870	977.280	1	3	13	5
680899.420	5239873.290	974.580	2	3	33	5
680899.790	5239870.120	959.960	3	3	10	2
680899.360	5239873.540	974.470	1	3	25	5
680899.470	5239872.590	970.100	2	3	8	4
680899.720	5239870.410	960.040	3	3	38	2
680899.290	5239873.800	974.370	1	2	19	5
680899.650	5239870.720	960.080	2	2	45	2
680899.230	5239874.070	974.290	1	2	20	5
680899.580	5239871.040	960.180	2	2	38	2
680899.500	5239871.360	960.240	1	1	105	2
680899.440	5239871.670	960.320	1	1	87	2
680899.100	5239874.210	970.750	1	2	20	4
680899.360	5239871.990	960.370	2	2	50	2
680899.290	5239872.320	960.460	1	1	66	2
680899.220	5239872.620	960.550	1	1	60	2
680898.680	5239876.990	979.730	1	1	28	5
680898.550	5239877.830	982.360	1	1	28	5
680898.490	5239878.070	982.070	1	1	26	5
680898.370	5239878.760	983.930	1	1	35	5
680898.320	5239878.970	983.610	1	2	11	5
680898.340	5239878.740	982.520	2	2	26	5
680898.270	5239879.010	982.360	1	2	34	5
680898.360	5239878.250	978.740	2	2	15	5
680898.240	5239879.030	981.080	1	1	50	5
680898.150	5239879.490	981.980	1	1	38	5
680898.100	5239879.710	981.740	1	1	39	5
680898.110	5239879.220	977.920	1	1	27	5
680898.040	5239879.510	977.800	1	1	43	5
680897.950	5239880.070	979.200	1	1	16	5
680897.750	5239881.520	984.750	1	1	49	5
680897.680	5239881.860	985.020	1	3	7	5
680897.740	5239881.310	982.350	2	3	13	5
680897.810	5239880.640	979.090	3	3	25	5
680897.620	5239882.060	984.660	1	1	36	5
680897.570	5239882.250	984.280	1	3	9	5
680897.700	5239881.070	978.520	2	3	12	5
680897.770	5239880.470	975.580	3	3	13	5
680897.430	5239883.120	987.000	1	1	35	5
680897.380	5239883.260	986.240	1	1	36	5
680897.400	5239882.780	982.570	1	4	9	5
680897.440	5239882.430	980.870	2	4	8	5
680897.500	5239881.890	978.200	3	4	16	5
680897.860	5239878.610	962.090	4	4	7	2
680897.350	5239882.920	981.770	1	1	47	5
680897.220	5239883.720	984.350	1	4	10	5
680897.260	5239883.360	982.570	2	4	13	5
680897.360	5239882.450	978.060	3	4	15	5
680897.720	5239879.220	962.130	4	4	21	2
680897.270	5239883.010	979.460	1	2	46	5
680897.330	5239882.430	976.570	2	2	12	5
680897.580	5239879.800	962.200	1	1	70	2
680897.090	5239883.950	981.220	1	2	27	5
680897.510	5239880.110	962.220	2	2	18	2
680897.020	5239884.330	981.600	1	3	20	5
680897.040	5239884.120	980.560	2	3	17	5
680897.440	5239880.430	962.250	3	3	28	2
680897.000	5239884.110	979.140	1	2	10	5
680897.370	5239880.730	962.270	2	2	51	2
680896.790	5239885.700	985.580	1	2	10	5
680897.300	5239881.040	962.310	2	2	53	2
680896.710	5239886.170	986.610	1	1	23	5
680896.650	5239886.380	986.220	1	1	32	5
680896.570	5239886.830	987.130	1	2	21	5
680896.600	5239886.550	985.710	2	2	11	5
680896.650	5239885.690	979.850	1	2	20	5
680897.020	5239882.240	962.440	2	2	32	2
680896.420	5239887.490	987.470	1	2	27	5
680896.570	5239886.150	980.670	2	2	12	5
680896.410	5239887.280	984.970	1	1	59	5
680896.390	5239887.080	982.470	1	1	36	5
680896.740	5239883.430	962.430	1	1	39	2
680896.280	5239887.500	981.790	1	2	16	5
680896.670	5239883.720	962.490	2	2	9	2
680896.210	5239887.820	981.950	1	2	9	5
680896.230	5239887.630	980.990	2	2	20	5
680896.210	5239887.420	978.400	1	1	50	5
680896.150	5239887.650	978.030	1	3	24	5
680896.190	5239887.210	975.740	2	3	9	5
680896.460	5239884.670	962.700	3	3	32	2
680896.080	5239887.930	978.060	1	3	16	5
680896.110	5239887.670	976.680	2	3	20	5
680896.390	5239884.950	962.690	3	3	65	2
680896.020	5239888.200	977.880	1	2	9	5
680896.320	5239885.260	962.700	2	2	71	2
680895.920	5239888.750	979.250	1	2	12	5
680896.250	5239885.560	962.740	2	2	47	2
680896.180	5239885.860	962.800	1	1	88	2
680896.120	5239886.150	962.860	1	1	79	2
680895.730	5239889.550	979.020	1	2	10	5
680896.040	5239886.480	962.980	2	2	61	2
680895.970	5239886.800	963.020	1	1	76	2
680895.900	5239887.090	963.040	1	1	60	2
680895.830	5239887.410	963.110	1	1	82	2
680895.760	5239887.700	963.110	1	1	81	2
680895.690	5239887.990	963.130	1	1	85	2
680895.630	5239888.280	963.140	1	1	77	2
680895.550	5239888.590	963.200	1	1	75	2
680895.480	5239888.900	963.220	1	1	54	2
680895.410	5239889.210	963.330	1	1	71	2
680895.340	5239889.540	963.440	1	1	102	2
680895.270	5239889.820	963.450	1	1	77	2
680895.210	5239890.110	963.470	1	1	65	2
680895.140	5239890.410	963.520	1	1	56	2
680895.060	5239890.740	963.610	1	1	70	2
680894.990	5239891.050	963.720	1	1	90	2
680894.920	5239891.350	963.790	1	1	92	2
680894.850	5239891.680	963.870	1	1	74	2
680894.360	5239896.360	987.840	1	2	27	5
680894.780	5239891.970	963.890	2	2	28	2
680894.250	5239897.130	990.700	1	1	25	5
680894.190	5239897.390	990.530	1	1	46	5
680894.060	5239898.340	994.150	1	2	21	5
680894.100	5239897.840	991.410	2	2	8	5
680893.980	5239898.740	994.740	1	1	27	5
680893.920	5239898.930	994.380	1	1	28	5
680893.870	5239899.100	993.640	1	2	29	5
680893.890	5239898.840	992.200	2	2	12	5
680893.820	5239899.140	992.320	1	1	31	5
680893.780	5239899.240	991.400	1	1	30	5
680893.760	5239898.990	988.520	1	2	20	5
680894.160	5239894.690	964.490	2	2	12	2
680893.690	5239899.320	988.660	1	3	21	5
680893.720	5239898.980	986.760	2	3	8	5
680894.090	5239895.010	964.550	3	3	9	2
680893.600	5239899.820	989.870	1	2	8	5
680893.660	5239899.220	986.470	2	2	26	5
680893.630	5239899.100	984.290	1	3	12	5
680893.700	5239898.300	979.740	2	3	11	5
680893.950	5239895.610	964.600	3	3	44	2
680893.560	5239899.430	984.490	1	3	32	5
680893.640	5239898.550	979.480	2	3	14	5
680893.880	5239895.930	964.680	3	3	34	2
680893.490	5239899.720	984.540	1	2	29	5
680893.810	5239896.230	964.730	2	2	29	2
680893.740	5239896.530	964.820	1	1	93	2
680893.670	5239896.820	964.910	1	1	86	2
680893.600	5239897.130	964.940	1	1	79	2
680893.530	5239897.450	965.000	1	1	71	2
680893.250	5239900.120	978.740	1	2	25	5
680893.460	5239897.750	965.110	2	2	75	2
680893.180	5239900.430	978.810	1	3	21	5
680893.370	5239898.340	966.730	2	3	20	3
680893.390	5239898.080	965.210	3	3	61	2
680893.120	5239900.710	978.870	1	2	11	5
680893.320	5239898.460	965.830	2	2	63	3
680893.050	5239901.010	978.910	1	2	7	5
680893.250	5239898.670	965.390	2	2	70	3
680893.190	5239898.940	965.340	1	1	91	2
680893.120	5239899.260	965.420	1	1	74	2
680893.050	5239899.570	965.470	1	1	82	2
680892.670	5239903.440	986.410	1	3	23	5
680892.680	5239903.270	985.440	2	3	27	5
680892.980	5239899.870	965.540	3	3	7	2
680892.620	5239903.570	985.500	1	2	33	5
680892.640	5239903.290	983.850	2	2	16	5
680892.540	5239903.960	986.180	1	1	43	5
680892.510	5239903.820	983.750	1	1	37	5
680892.430	5239904.350	985.200	1	2	12	5
680892.450	5239904.100	983.700	2	2	13	5
680892.410	5239904.110	982.080	1	3	11	5
680892.440	5239903.720	979.830	2	3	19	5
680892.630	5239901.370	965.870	3	3	53	2
680892.330	5239904.420	982.200	1	3	25	5
680892.350	5239904.200	980.880	2	3	12	5
680892.560	5239901.700	965.950	3	3	16	2
680892.230	5239905.110	984.630	1	3	22	5
680892.270	5239904.720	982.320	2	3	9	5
680892.490	5239901.990	965.980	3	3	17	2
680892.160	5239905.440	984.860	1	2	45	5
680892.420	5239902.300	966.080	2	2	20	2
680892.110	5239905.550	983.830	1	3	39	5
680892.190	5239904.540	977.790	2	3	8	5
680892.350	5239902.600	966.160	3	3	9	2
680892.100	5239905.150	979.810	1	2	10	5
680892.290	5239902.890	966.210	2	2	58	2
680892.220	5239903.180	966.230	1	1	108	2
680891.970	5239905.750	979.980	1	2	46	5
680892.150	5239903.490	966.300	2	2	40	2
680892.080	5239903.800	966.340	1	1	92	2
680892.020	5239904.080	966.330	1	1	65	2
680891.940	5239904.390	966.370	1	1	81	2
680891.880	5239904.690	966.510	1	1	107	2
680891.810	5239904.990	966.570	1	1	98	2
680891.740	5239905.280	966.680	1	1	93	2
680891.670	5239905.610	966.790	1	1	83	2
680891.600	5239905.920	966.860	1	1	97	2
680891.530	5239906.230	967.030	1	1	110	2
680891.460	5239906.540	967.070	1	1	110	2
680891.390	5239906.810	967.020	1	1	92	2
680891.330	5239907.100	967.060	1	1	70	2
680891.260	5239907.370	966.980	1	1	94	2
680891.190	5239907.660	966.950	1	1	106	2
680891.120	5239907.980	967.070	1	1	84	2
680891.050	5239908.280	967.160	1	1	110	2
680890.980	5239908.590	967.220	1	1	110	2
680890.920	5239908.890	967.320	1	1	73	2
680890.850	5239909.150	967.280	1	1	102	2
680890.780	5239909.450	967.280	1	1	84	2
680890.710	5239909.750	967.300	1	1	114	2
680890.650	5239910.050	967.320	1	1	96	2
680890.580	5239910.340	967.330	1	1	95	2
680890.510	5239910.640	967.380	1	1	107	2
680890.440	5239910.940	967.440	1	1	81	2
680890.380	5239911.210	967.470	1	1	60	2
680890.310	5239911.510	967.550	1	1	85	2
680890.240	5239911.820	967.590	1	1	85	2
680890.170	5239912.130	967.600	1	1	87	2
680890.100	5239912.400	967.630	1	1	69	2
680890.030	5239912.720	967.700	1	1	71	2
680889.960	5239913.010	967.780	1	1	75	2
680889.900	5239913.300	967.820	1	1	76	2
680889.830	5239913.570	967.850	1	1	76	2
680889.760	5239913.890	967.900	1	1	84	2
680889.690	5239914.210	967.990	1	1	81	2
680889.630	5239914.470	967.950	1	1	85	2
680889.560	5239914.780	968.010	1	1	73	2
680889.490	5239915.080	968.080	1	1	91	2
680889.420	5239915.370	968.160	1	1	107	2
680889.360	5239915.660	968.240	1	1	82	2
680889.290	5239915.960	968.290	1	1	95	2
680889.210	5239916.280	968.350	1	1	76	2
680889.150	5239916.560	968.390	1	1	72	2
680889.080	5239916.870	968.460	1	1	94	2
680889.010	5239917.150	968.470	1	1	84	2
680888.950	5239917.430	968.470	1	1	82	2
680888.880	5239917.720	968.510	1	1	81	2
680888.810	5239918.020	968.570	1	1	66	2
680888.740	5239918.320	968.570	1	1	78	2
680888.680	5239918.610	968.600	1	1	96	2
680888.610	5239918.910	968.630	1	1	94	2
680888.540	5239919.190	968.620	1	1	86	2
680888.480	5239919.470	968.700	1	1	78	2
680888.410	5239919.810	969.070	1	1	49	3
680888.340	5239920.130	969.220	1	1	113	3
680888.270	5239920.430	969.240	1	1	30	3
680888.200	5239920.690	969.170	1	1	45	3
